sku,current_price,current_inventory,asin
103018-CousinEddieOrangeHoseFBA,14.95,0,B0BGV7FJ8Q
103019-PurpleCobrasArmor,33.95,478,B0BJRMFZNG
103021-EncantoSatchel,17.95,379,B0BFJXWR79
103022-HottersApron,14.95,260,B0BG95LJHH
103023-OrchidNecklace-OS,11.95,500,B0CG2K4DJC
103024-SymbolNecklace-OS,11.95,383,B0CG2KNZYN
103025-KneePads-BLACK,9.95,249,B0CGSVCBBK
103025-KneePads-GREEN,9.95,242,B0CGSQLSRP
103025-KneePads-ORANGE,9.95,202,B0CGSKL1DV
103025-KneePads-PINK,9.95,292,B0CGSV7XN1
103025-KneePads-RED,9.95,124,B0CGSLXF7Z
103025-KneePads-WHITE,9.95,295,B0CGSTY865
103025-KneePads-YELLOW,9.95,1,B0CGSQDH77
103026-AllOnceFannyPack-OS,8.95,849,B0CNSB4GWF
103027-ToddSocks-OS,14.95,918,B0CNHC36G5
103028-MargoSocks-OS,14.95,1019,B0CNHCB3YJ
103029-PropelloeHat-OS,13.95,597,B0CKXZH9SP
103030-LightGreen,14.95,314,B0CV5WS719
103030-Pink,11.95,398,B0CV5X1Q89
103030-Purple,14.95,317,B0CV5X3XWN
103030-Rainbow,11.95,396,B0CV5XTM7X
103030-Teal,14.95,317,B0CV5Y8PCY
103031-KrampusSocks-OS,9.95,1143,B0CN9NYB8V
103032-PopeyeArmsTattoos-OS,18.95,562,B0CGMLTHQL
103033-HotDogFingers-OS,9.95,692,B0CKC1D3V1
103034-DeirdreCostume-3XL,14.95,42,B0CHBQPV7D
103034-DeirdreCostume-L,14.95,76,B0CHBLNK3L
103034-DeirdreCostume-M,14.95,63,B0CHBLNK1P
103034-DeirdreCostume-S,14.95,27,B0CHBMC12T
103034-DeirdreCostume-XL,14.95,153,B0CHBWQ4QS
103034-DeirdreCostume-XXL,14.95,83,B0CHBMBKR3
103035-EvelynCostume-L,18.95,194,B0CGVZQ3GR
103035-EvelynCostume-M,18.95,127,B0CGVZG7BM
103035-EvelynCostume-S,18.95,133,B0CGVXSRH1
103035-EvelynCostume-XL,18.95,57,B0CGVZWPZ3
103036-PlugThrophy-OS,14.95,1171,B0CJ3P3H53
103038-KrampusOrnament,14.95,721,B0CMJPW4X5
103039-SharkHatOrnament,14.95,575,B0CMJNLXYM
103040-MooseMugOrnament,14.95,884,B0CJMXW223
103041-ElfOrnament,14.95,481,B0CJMXXPD2
103042-SantaFrozenOrnament,14.95,988,B0CJMW5F25
103043-KrampusSantaOrnament,14.95,931,B0CJMR1N62
103044-GamerSantaOrnament,9.95,526,B0CJMSTPS9
103045-SantaChimneyOrnament,14.95,497,B0CJMXJZ2N
103046-KrampusTreeBuddyOrnament,14.95,1087,B0CJMVZNZC
103047-TreeRexOrnament,14.95,573,B0CMVWV67S
103048-SantaBigPackOrnament,16.95,2,B0CJMX4XSG
103049-CaribeanPirateOrnament,14.95,853,B0CJMYFH29
103050-Hat-DiscoCaptain,19.95,200,B0CH1JPZND
103051-Hat-SharkCaptain,14.95,200,B0CH1JRLWV
103052-Hat-FlamingoCaptain,19.95,192,B0CH1K8593
103053-Hat-LadyCaptain,15.95,199,B0CH1JSLL7
103054-Hat-StandardCaptain,19.95,199,B0CH1JF8K4
103055-Hat-GeneralCaptain,14.95,200,B0CH1JF8K6
103056-Hat-PotHeadCaptain,19.95,198,B0CH1KWZLZ
103057-BernieDoll-OS,14.95,667,B0CKXZFZZF
103058-EastboundHatWig-OS,18.95,716,B0CHH16NKZ
103059-TurkeyHatGlasses,35.95,759,B0CG2H2WTQ
103060-TreeRex-Inflatable,59.95,131,B0CN3P7K1B
103061-ChuckyLawn-Inflatable,29.95,215,B0CN3N1P3N
103062-FilthyAnimal-Inflatable,59.95,180,B0CN3P8B42
103063-ElfLawn-Inflatable,49.95,110,B0CN3SL3P2
103065-GreenBackpack,29.95,1343,B0CK2P5DHT
103068-GreenMonsterCrown-OS,19.95,1188,B0CKTS68PZ
103069-KnitWits,13.95,931,B0CNTWS5BQ
103071-BarrelMonkeyTie-OS,14.95,252,B0DJ9MN3RG
103072-MartyPancho-OS,39.95,265,B0DF3LRBNT
103073-JackHorseMask-OS,19.95,377,B0DCLNLY6B
103075-CowgirlToyHat-ADULT,18.95,317,B0DJMZ575L
103076-SheriffHat-ADULT,18.95,431,B0DJMXJ9K6
103077-MonkeyManMask-OS,14.95,375,B0DDDNB26W
103079-ChocolateFactoryGlasses,17.95,1119,B0FB5KFGJT
103079-ChocolateFactoryGlassesFBA,17.95,0,B0FB5KFGJT
103080-MarsGlasses,29.95,286,B0FB5W2QN7
103082-AmberMosquitoReplica,14.95,1694,B0DJ1KWNTF
103082-AmberMosquitoReplicaFBA,14.95,0,B0DJ1KWNTF
103083-KrampusBell,29.95,1855,B0DKR3N55V
103084-ChristmasTreeBluePin,7.95,494,B0DHSS64MP
103085-RainbowPin,7.95,492,B0DHSRT4R8
103086-PirateHat-Black,14.95,500,B0DJTBYLKY
103086-PirateHat-Brown,14.95,899,B0DJTDTBQD
103087-FightSoapBox,13.95,5873,B0DNV3Q8TC
103088-JokeClownWig,19.95,190,B0DHT15NKZ
103089-JokeClownSocks-OS,12.95,381,B0DJ3NLZXF
103090-BlueDetectiveNotebook,13.95,285,B0DJRSXZ7F
103091-MooseShotGlass-2PACK,19.95,1762,B0DLCPNX4Q
103091-MooseShotGlass-4PACK,29.95,881,B0DLCJ53V1
103092-DipperHatPinsSet,18.95,492,B0DK7SV2WN
103093-Cat-HandTowel,9.95,205,B0DNNF8YY2
103093-Chihuahua-HandTowel,9.95,214,B0DNNDFG9B
103093-Dolphin-HandTowel,9.95,207,B0DNNC6S66
103093-GoldenRetriever-HandTowel,9.95,215,B0DNNDSHLM
103093-Monkey-HandTowel,9.95,196,B0DNNDHQMB
103093-Panda-HandTowel,9.95,216,B0DNNG1FBG
103093-Pug-HandTowel,9.95,210,B0DNNF8JJB
103093-Rabbit-HandTowel,9.95,208,B0DNNH1ZZ8
103093-Shark-HandTowel,9.95,217,B0DNNFVXGC
103093-TRex-HandTowel,9.95,190,B0DNNCFM5N
103094-KrampusTikiMug,19.95,1080,B0DNV223FP
103096-DinosaurShavingCream,24.95,1480,B0FNPX6WRH
103098-MooseMugOrnament-Clear,14.95,800,B0FVJKVFZ3
103099-PirateCoinNecklace,14.95,398,B0FLLHMNWL
103100-ImperialOfficerCap-Black,14.95,340,B0FBH9V6SS
103100-ImperialOfficerCap-Gray,14.95,1130,B0FBHH14HD
103102-KrampusSuncatcher,29.95,500,B0FP3STFBC
103103-KrampusSuncatcher2,29.95,500,B0FP3X7LYM
103104-ProtectionTalisman,19.95,499,B0FT5ZCFC9
103106-SubstanceActivator,19.95,989,B0FQQ7V4TH
103107-YaFilthyAnimal-Box,42.95,737,B0FPZQ32F4
103108-ChristmasVacation-Box,42.95,1345,B0FPZ9369R
103110-PinkSkeletonOrnament,14.95,478,B0FVJPS27N
103111-RubberDuckHat,19.95,558,B0FLZRJ62G
103112-PinkSkeletonOrnament-NoHook,14.95,539,B0FVJTXM9G
103113-AlienGlass,29.95,479,B0FQQDJFSS
103117-KrampusMaskLightUP,19.95,800,B0FTJQQXSY
103118-MajoraMaskStatue,34.95,360,B0FT5XTTT5
103119-NunMaskLightUP,19.95,300,B0FT8YBR86
103120-FightSoapGlasses,17.95,971,B0FTTGXYLZ
103121-ChristmasTreeGlass,29.95,1608,B0FWMT6XW8
103134-DaisyDukeAd,37.95,1,B015QIOA74
109029N-HocusPocusWINICostume-S,34.95,31,B07KXNLHK9
109029N-HocusPocusWINICostume-XL,34.95,24,B09BS7WNWB
10PackPinkCape-Kids,19.95,75,B0BZGBMCM2
10PackRedCape-Kids,19.95,130,B0BZG5R9ZR
1135,14.95,44,B01LZRMS8F
1144-BeautyWig,14.95,67,B075FWSW7X
1146-MusicPrinceWig1,22.95,102,B09QXXS98W
1148-ElevenBlondeWig,19.95,500,B075FWVT13
1151-EvilDogNapperWig,12.95,291,B076MDL1MG
1152-WendyWig,26.95,127,B076MGP45N
1153-EnglishMustache,5.95,593,B076PR5HJG
1154-HandlebarMustache,5.95,206,B076MK3C1X
1155-LateNightTalkShowHostWig,14.95,33,B076MJD867
1157-FullBeard,9.95,1548,B07682Z1F4
1159-DeluxeVikingWigBeardSetBrown,18.95,550,B076MG2YFV
1162-DeluxeVikingWigBeardSetGray,22.95,83,B076MGLWFV
1165-SantaBeardWig,14.95,9,B076N5G4G7
1166-AquamanWigBeard,17.95,83,B076N5K53V
1167-HQWigColored,22.95,27,B076N52168
1168-HQWigBleached1,14.95,285,B07H11W3BC
1169-TaniaWig,14.95,78,B076NC8LGC
1170-RSWigEyebrown,19.95,686,B076N6SKJL
1171-MalWig,13.95,364,B071LGYB6D
1172-EvieWig,14.95,200,B071F9HHYF
1174-UmaWig,9.95,148,B076T6V3KH
1176-CreepyClownWig,9.95,852,B076QKTDWV
1180-GingerBeard,14.95,597,B076N8FGM3
1181-GOTBlondeWig,12.95,168,B076QHCPW7
1183-GOTBlackWig,14.95,8,B076QK84P8
1184-AnnabellWig,19.95,118,B076QL3RHJ
1185-BlondeJennerWig,14.95,100,B076QJ7J42
1186-InjusticeGreeArrowWig,14.95,42,B076QLVJSS
1187-GoatManWig,14.95,15,B076QLF3S7
1188-KingTrollWigKit,17.95,121,B079LKFTZN
1243-CatLadyWig,16.95,76,B08GQFBF9Q
1244-TigerKingMulletMustache,14.95,1686,B08KRFT6G1
1245-TigerKingMustache,7.95,6267,B08KWJWP81
1246-NapoleonKit-Shirt-L,39.99,79,B09HL5KBRB
1249-QueensGambitWig,19.95,199,B09G4PLMM8
1251-ButtHeadWig,19.95,695,B0BGT95YG1
1252-ChuckieKidsWig,16.95,213,B0BHKKJ3GP
1253-CobraKaiHawk-Blue,24.95,46,B0B916CGG1
1253-CobraKaiHawk-Red,27.95,171,B0B917Y5RX
1254-SheHulk,17.95,146,B0BBH2NGXD
1255-JoeDirtWigSideburn,24.95,128,B0BBH52SP2
1256-HangoverBeard,14.95,469,B0BBH9BFF5
1257-DannyMcbrideWigSideburn,19.95,26,B0BBHCB38G
1259-IslandBoyWig-Blonde,19.95,629,B0BBH8NDPM
1260-IslandBoyWig-Brown,19.95,869,B0BBH8P288
1261-GuyFieryWig,24.95,619,B0BGQM9DHX
1262-BridgetonDaphneWig,14.95,127,B0BGT87XP1
1263-BridgetonQueenWig,14.95,58,B0BGT8XDYG
1265-JokeWig,9.95,406,B0CK2MQF3W
1266-WednesdayWig,9.95,305,B0CJ5TLQQ2
1267-MorticiaWig,19.95,15,B0CJ9WDXC2
1269-PennyProudWig,19.95,85,B0CJ9W5K5J
1271-EnidWig,14.95,71,B0CJCMPNSC
1272-HulkamaniaBanWigMustache,17.95,2318,B0CGVRY6PJ
1273-PsychoClownWig,19.95,596,B0DCLKD6VP
1274-CabbageDollWig-18/24m,23.95,106,B0FRGPF6X5
12MXDRS0016-GrinchNaughtySwt-2XL,39.95,170,B0DJPXZ958
12MXDRS0016-GrinchNaughtySwt-3XL,39.95,112,B0DJQ15CJQ
12MXDRS0016-GrinchNaughtySwt-4XL,39.95,46,B0DJPYVD5Y
12MXDRS0016-GrinchNaughtySwt-5XL,39.95,38,B0DJPZ7B7W
12MXDRS0016-GrinchNaughtySwt-6XL,39.95,1,B0DJPW5LPZ
12MXDRS0016-GrinchNaughtySwt-L,39.95,224,B0DJPYD1TM
12MXDRS0016-GrinchNaughtySwt-M,39.95,147,B0DJPZ27VV
12MXDRS0016-GrinchNaughtySwt-S,39.95,67,B0DJQ15L8K
12MXDRS0016-GrinchNaughtySwt-XL,39.95,208,B0DJPYK1N3
12MXDRS0016-GrinchNaughtySwt-XS,39.95,36,B0DJPYK432
14001-WristCuff,11.95,127,B07HWTKPXH
15261400JD-JackDaniels-Mens-2XL,22.95,62,B0BHF5G4KQ
15261400JD-JackDaniels-Mens-3XL,22.95,40,B0BHF3G5RL
15261400JD-JackDaniels-Mens-L,22.95,276,B0BHF4LHJ5
15261400JD-JackDaniels-Mens-M,22.95,83,B0BHFWLV3B
15261400JD-JackDaniels-Mens-S,22.95,22,B0BHF2XMW6
15261400JD-JackDaniels-Mens-XL,22.95,30,B0BHF48LN5
16can002-L,10.0,6,B0035L4FPM
16can002-M,16.95,7,B0035L6IMK
16can002-S,10.0,12,B0035L884G
16can003-S,10.0,8,B005MI3E80
17BE131-ElfLoungePants-L,19.95,218,B0CMVYHBVT
17BE131-ElfLoungePants-M,19.95,230,B0CMW5BKJ1
17BE131-ElfLoungePants-S,19.95,98,B0CMVZTM9N
17BE131-ElfLoungePants-XL,19.95,97,B0CMVTZSXS
17CY074-ChristmasStoryPants-L,19.95,261,B0CLDZT7VV
17CY074-ChristmasStoryPants-M,19.95,330,B0CLDYJFQM
17CY074-ChristmasStoryPants-S,19.95,130,B0CLDYXNQX
17CY074-ChristmasStoryPants-XL,19.95,87,B0CLDZJNLF
17NB283-BeforeChristmasPants-L,27.95,5,B0CNJ8JV2B
17NB283-BeforeChristmasPants-M,27.95,5,B0CNJ5HPWC
17NB283-BeforeChristmasPants-S,27.95,4,B0CNJ54QDV
17NB283-BeforeChristmasPants-XL,27.95,5,B0CNHTXDVZ
17NB347-NightmareSkullPants-L,29.95,401,B0FNRVV7RP
17NB347-NightmareSkullPants-M,29.95,407,B0FNRV4GY7
17NB347-NightmareSkullPants-S,29.95,203,B0FNRVLK6B
17NB347-NightmareSkullPants-XL,29.95,203,B0FNRY8DJ4
17NL066-XmasVacationPants-L,19.95,17,B0CLSD18PB
17NL066-XmasVacationPants-M,19.95,104,B0CLSDQQXM
17NL066-XmasVacationPants-S,19.95,42,B0CLSD4PFS
17PN538-Peauts1950Pants-Gray-L,23.95,323,B0FKKM56QS
17PN538-Peauts1950Pants-Gray-M,23.95,324,B0FKK6ZFNZ
17PN538-Peauts1950Pants-Gray-S,19.95,162,B0FKK64ZVX
17PN538-Peauts1950Pants-Gray-XL,23.95,162,B0FKKHL226
17PN549-PeantusPantsGreen-L,22.95,202,B0FN8B92YH
17PN549-PeantusPantsGreen-M,22.95,202,B0FN8CHJ4V
17PN549-PeantusPantsGreen-S,19.95,100,B0FN8F6LZL
17PN549-PeantusPantsGreen-XL,22.95,100,B0FN8F5SRP
17SB095-SpongeBobLoungePants-L,19.95,51,B0CLHJDGFZ
17SB095-SpongeBobLoungePants-M,19.95,4,B0CLHGQY16
